-10.07,9.53,14.36
-9.28,9.46,12.89
-9.11,9.29,11.28
-9.36,9.67,10.20
-9.80,10.13,10.10
-10.39,10.45,11.15
-10.98,10.74,12.72
-11.56,10.99,13.88
-11.42,10.88,13.90
-10.18,10.79,12.80
-8.13,10.64,10.62
-6.12,9.13,8.26
-3.73,8.17,7.20
-1.28,6.93,6.92
0.66,5.23,6.93
2.70,3.55,6.79
3.89,1.67,6.10
4.58,-0.03,5.25
4.82,-1.18,4.46
5.09,-2.18,3.88
6.06,-3.09,3.44
6.61,-3.77,2.82
6.44,-4.72,2.04
5.42,-4.75,1.85
3.80,-4.30,2.51
2.62,-4.02,3.97
1.89,-3.84,5.98
1.54,-3.92,8.03
1.34,-3.96,9.95
0.50,-3.79,11.26
0.42,-3.55,11.89
0.65,-3.61,11.94
0.97,-3.83,11.49
0.98,-4.00,11.11
0.60,-4.06,11.16
0.28,-4.22,11.74
-0.16,-4.22,12.57
-0.99,-3.94,13.39
-2.00,-3.57,13.87
-3.06,-3.38,13.77
-4.04,-3.34,12.93
-4.99,-3.44,11.54
-5.63,-3.54,10.19
-5.73,-3.74,9.19
-5.42,-3.79,8.42
-4.43,-4.10,7.79
-3.84,-4.34,6.74
-3.05,-4.52,5.69
-2.26,-4.76,4.56
-1.80,-4.88,3.43
-1.46,-4.90,2.50
-1.18,-4.78,1.96
-1.69,-4.57,1.32
-2.07,-4.40,0.57
-2.40,-4.10,-0.13
-2.57,-3.73,-0.82
-2.54,-3.39,-1.24
-2.94,-2.80,-1.63
-3.49,-2.38,-1.73
-4.06,-1.84,-1.68
-4.15,-1.23,-1.45
-3.93,-0.80,-1.27
-2.89,-0.74,-1.15
-1.82,-0.43,-1.22
-0.64,-0.13,-1.30
-0.02,0.60,-1.07
0.44,1.93,-0.33
0.64,2.60,0.28
1.06,3.35,0.87
1.12,4.71,1.51
0.59,8.03,3.01
-1.55,11.66,6.95
-2.79,14.28,12.51
-4.32,15.60,17.72
-6.72,15.85,21.72
-9.27,15.56,23.94
-10.92,14.55,23.40
-11.65,12.97,20.03
-10.01,10.83,16.69
-6.45,9.36,14.39
-2.49,8.18,13.23
-0.22,7.77,12.67
1.13,7.41,13.95
-0.04,7.93,15.71
-1.96,8.40,17.89
-3.72,8.79,19.54
-4.56,8.86,20.01
-4.91,8.67,19.31
-5.65,9.12,18.48
-5.80,9.94,18.15
-5.53,10.34,17.80
-5.38,10.47,17.02
-5.46,10.62,15.86
-6.05,11.08,14.79
-6.94,11.67,14.35
-7.46,12.10,14.15
-6.51,11.72,13.88
-4.89,11.06,13.28
-3.27,10.55,12.03
-0.59,9.20,10.13
1.74,6.91,7.93
