5.61,-5.39,7.31
5.85,-5.64,7.01
6.13,-5.89,6.87
6.03,-5.89,7.12
6.74,-5.75,8.21
6.97,-5.48,9.27
7.04,-5.17,10.08
7.25,-5.58,10.52
6.43,-5.21,11.26
4.79,-4.47,12.65
3.42,-3.77,14.02
2.39,-3.23,14.46
1.53,-2.95,13.73
1.07,-2.99,12.30
0.62,-3.13,10.93
0.11,-3.13,10.11
-0.12,-3.06,9.88
-0.11,-3.14,10.11
-0.21,-3.19,10.64
-0.48,-3.04,11.09
-0.32,-2.94,11.43
-0.35,-2.96,11.30
-0.39,-3.00,11.14
0.03,-2.89,11.01
0.25,-2.95,10.77
0.16,-2.99,10.46
-0.20,-3.05,10.45
-0.43,-2.88,10.47
-0.46,-2.70,10.64
-0.24,-2.55,10.82
-0.33,-2.51,10.86
-0.32,-2.39,10.80
0.08,-2.33,10.43
0.33,-2.51,9.65
0.33,-2.82,8.65
0.39,-3.06,7.85
0.39,-3.17,7.38
0.46,-3.34,7.29
0.72,-3.40,7.29
1.40,-3.60,7.18
2.18,-4.24,6.89
3.05,-4.52,6.53
4.05,-4.19,6.21
5.12,-4.14,5.41
5.41,-4.95,4.50
5.54,-6.09,4.26
5.68,-6.56,5.06
5.06,-6.01,6.79
4.35,-5.22,8.80
3.88,-4.74,10.62
3.65,-4.53,11.99
3.46,-4.22,12.88
3.30,-3.90,13.54
3.00,-3.59,13.80
2.56,-3.30,13.43
2.03,-3.11,12.38
1.37,-3.18,10.88
0.64,-3.35,9.71
0.37,-3.37,9.33
0.45,-3.34,9.67
0.66,-3.29,10.36
0.86,-3.19,10.94
0.91,-3.10,11.30
1.10,-3.15,11.46
1.64,-3.28,11.43
1.97,-3.42,11.33
1.92,-3.37,11.12
1.45,-3.30,10.92
1.02,-3.29,10.73
0.89,-3.24,10.52
0.84,-3.19,10.24
0.73,-3.19,9.94
0.85,-3.28,9.72
0.73,-3.40,9.66
0.79,-3.66,9.91
1.11,-3.66,10.39
1.34,-3.38,10.88
1.29,-3.11,11.02
0.74,-2.91,10.76
0.01,-2.90,10.26
-0.47,-2.96,9.83
-0.33,-3.06,9.42
-0.25,-3.36,9.14
0.40,-3.55,9.03
0.96,-3.45,8.90
0.97,-3.56,8.74
0.80,-3.74,8.62
0.76,-3.87,8.59
1.05,-3.77,8.52
1.28,-3.65,8.42
1.66,-3.84,8.11
2.06,-3.95,7.80
2.75,-4.15,7.57
3.25,-4.18,7.59
3.41,-4.56,7.65
3.74,-4.87,7.59
3.82,-4.98,7.47
3.71,-4.90,7.43
3.61,-4.64,7.39
3.80,-4.57,7.24
4.19,-4.56,7.03
