-7.86,0.39,6.10
-8.06,0.66,6.31
-8.24,0.94,6.79
-8.37,1.08,7.37
-8.31,0.92,8.10
-8.26,0.83,8.88
-7.93,0.86,9.86
-7.40,0.93,10.93
-6.65,1.02,11.92
-5.53,1.07,12.84
-4.57,1.08,13.49
-3.77,1.17,14.02
-3.19,1.22,14.32
-2.70,1.24,14.61
-2.24,1.33,15.01
-1.88,1.44,15.54
-1.63,1.53,16.11
-1.55,1.57,16.46
-1.34,1.47,16.49
-1.20,1.26,15.98
-0.89,0.98,15.15
-0.32,0.73,14.20
0.38,0.42,13.33
1.08,0.13,12.59
1.69,-0.12,11.98
2.08,-0.31,11.32
2.19,-0.38,10.73
2.07,-0.42,10.05
1.81,-0.44,9.42
1.53,-0.41,8.92
1.34,-0.41,8.53
1.13,-0.37,8.32
1.03,-0.28,8.27
0.77,-0.19,8.24
0.45,-0.08,8.00
0.09,0.02,7.67
-0.30,0.04,7.26
-0.73,0.10,6.75
-1.22,0.11,6.20
-1.99,0.06,5.54
-2.94,0.10,5.06
-3.64,0.13,4.93
-4.04,0.16,5.23
-4.42,0.13,5.75
-5.01,0.15,6.25
-5.65,0.18,6.59
-6.54,0.23,6.71
-7.28,0.23,6.77
-7.72,0.20,6.86
-8.10,0.20,7.03
-8.19,0.23,7.34
-8.09,0.19,7.81
-7.83,0.16,8.39
-7.55,0.14,8.97
-7.18,0.12,9.50
-6.73,0.26,10.09
-6.25,0.43,10.75
-5.73,0.76,11.55
-5.30,1.10,12.61
-4.90,1.29,13.81
-4.45,1.41,14.92
-4.03,1.43,15.81
-3.65,1.35,16.24
-3.06,1.14,16.17
-2.39,0.90,15.65
-1.64,0.62,14.88
-0.94,0.34,14.14
-0.40,0.12,13.57
0.18,-0.06,13.26
0.56,-0.20,13.01
0.93,-0.34,12.80
1.27,-0.43,12.53
1.36,-0.48,12.09
1.32,-0.52,11.53
1.17,-0.53,10.92
1.21,-0.58,10.44
1.28,-0.64,10.04
1.33,-0.64,9.76
1.46,-0.66,9.58
1.48,-0.59,9.32
1.30,-0.53,9.01
0.89,-0.40,8.54
0.15,-0.33,7.88
-0.62,-0.24,7.19
-1.30,-0.17,6.65
-1.68,-0.18,6.35
-2.09,-0.14,6.15
-2.52,-0.04,6.03
-2.98,0.02,6.02
-3.73,0.14,5.92
-4.65,0.23,5.64
-5.85,0.34,5.18
-6.69,0.42,4.84
-7.19,0.54,4.73
-7.61,0.55,4.91
-7.72,0.56,5.48
-7.92,0.52,6.14
-8.00,0.45,6.79
-7.91,0.23,7.39
-7.50,0.03,8.02
-6.91,-0.11,8.66
